nthreads,energy,time,power
1,29414.6,267.294,110.046
2,15095.4,134.671,112.091
3,9695.8,85.9282,112.836
4,7457.2,65.4631,113.915
5,6030.75,52.2394,115.444
6,5181.05,44.2521,117.08
7,4488,38.1115,117.76
8,3950,33.2268,118.88
9,3589.25,29.8392,120.286
10,3242.95,26.7518,121.224
11,2909.1,23.7428,122.526
12,2770.2,22.5568,122.81
13,2539.65,20.4283,124.32
14,2355.3,18.7278,125.765
15,2219.45,17.66,125.677
16,2090.55,16.4471,127.108
17,1963.25,15.4452,127.111
18,1875.15,14.7068,127.502
19,1838.5,14.3572,128.054
20,1746.1,13.4534,129.789
21,1655.6,12.7503,129.848
22,1585.6,12.2026,129.94
23,1529.15,11.5782,132.071
24,1452.3,11.0936,130.913
25,1440.2,10.8513,132.721
26,1368.1,10.2607,133.334
27,1365.65,10.1868,134.061
28,1307.3,9.55264,136.852
29,1280.5,9.22803,138.762
30,1214.35,8.93268,135.945
31,1203.55,8.83381,136.244
32,1142.55,8.29206,137.788
33,1141.05,8.0735,141.333
34,1127.85,7.98754,141.201
35,1100.1,7.78198,141.365
36,1085.25,7.77471,139.587
37,1063.6,7.53137,141.223
38,1005.1,7.00474,143.489
39,987.2,6.85723,143.965
40,991.65,6.87806,144.176
41,962.05,6.60186,145.724
42,940.2,6.38201,147.32
43,942.25,6.39154,147.421
44,902.6,6.08686,148.287
45,891.75,6.0124,148.318
46,898.3,5.98797,150.017
47,867.3,5.69977,152.164
48,873.25,5.73936,152.151
49,855.85,5.5493,154.227
50,861.65,5.60128,153.831
51,820.15,5.28866,155.077
52,796.65,5.15023,154.682
53,798.85,5.13533,155.56
54,807.45,5.1557,156.613
55,805.85,5.09272,158.236
56,803.25,5.0227,159.924
57,777.5,4.88731,159.085
58,780.75,4.91989,158.693
59,794.2,5.03003,157.892
60,732.15,4.6109,158.787
61,739.25,4.64362,159.197
62,709.45,4.45898,159.106
63,719.9,4.49775,160.058
64,745.4,4.66312,159.85
65,687.25,4.27292,160.838
66,681.4,4.28193,159.134
67,674.8,4.27729,157.763
68,663.85,4.22976,156.947
69,641.95,4.06882,157.773
70,638.45,4.03886,158.077
71,625.9,3.94378,158.706
72,621.65,3.89776,159.489
73,636.1,3.9792,159.856
74,611.25,3.85526,158.55
75,593.3,3.73756,158.74
76,585.35,3.6953,158.404
77,582.75,3.65463,159.455
78,580.9,3.65206,159.061
79,579.75,3.63225,159.612
80,554.45,3.49683,158.558
81,550.4,3.4504,159.518
82,548.4,3.42472,160.13
83,548.15,3.50802,156.256
84,548.25,3.45346,158.754
85,533.3,3.34936,159.224
86,526.35,3.3053,159.244
87,531.1,3.29492,161.188
88,536.35,3.34948,160.129
89,529.35,3.22544,164.117
90,531.7,3.29026,161.598
91,506.2,3.14143,161.137
92,499.4,3.15887,158.095
93,492.45,3.08053,159.859
94,507.75,3.17625,159.858
95,494.55,3.08559,160.277
96,480.65,2.99611,160.425
97,478.9,2.99501,159.899
98,474.7,2.94593,161.138
99,479.3,2.99543,160.01
100,477.45,2.98056,160.188
101,466.5,2.87537,162.24
102,465.05,2.90242,160.228
103,458.45,2.83147,161.912
104,452.6,2.79797,161.76
105,449.75,2.782,161.664
106,458.75,2.83003,162.101
107,446.9,2.79593,159.839
108,443.65,2.72934,162.548
109,435.25,2.69428,161.546
110,436.2,2.68023,162.747
111,457.8,2.83103,161.708
112,457.7,2.86578,159.712
113,450.95,2.78468,161.94
114,428.85,2.69293,159.25
115,430.55,2.69455,159.785
116,429.85,2.67105,160.929
117,434.35,2.67782,162.203
118,440.95,2.67311,164.958
119,441.05,2.67244,165.036
120,419.75,2.66777,157.341
121,429.6,2.66555,161.167
122,424,2.67128,158.725
123,418.85,2.65935,157.501
124,431.2,2.67077,161.452
125,439.25,2.66955,164.541
126,428.1,2.66978,160.35
127,432.8,2.66835,162.198
128,440.45,2.6708,164.913
129,429.95,2.67492,160.734
130,442.05,2.6751,165.246
131,441.4,2.6713,165.238
132,438,2.67384,163.809
133,442.05,2.67338,165.352
134,437.65,2.6724,163.767
135,443.45,2.67268,165.92
136,435.5,2.67564,162.765
137,445.45,2.67084,166.783
138,434.15,2.67118,162.531
139,427.6,2.62481,162.907
140,431.4,2.6685,161.664
141,385.8,2.37451,162.476
142,399.4,2.50751,159.282
143,417.8,2.55937,163.243
144,390,2.40672,162.046
145,380.1,2.35686,161.274
146,446.6,2.7244,163.926
147,380.65,2.35667,161.52
148,407.75,2.48232,164.262
149,368.15,2.29959,160.094
150,372.05,2.28265,162.99
151,370.6,2.30784,160.583
152,373.6,2.28181,163.73
153,373.25,2.27027,164.408
154,366.8,2.23756,163.929
155,364.05,2.25587,161.379
156,354.9,2.20151,161.208
157,346.75,2.15286,161.065
158,365.5,2.2811,160.23
159,363.3,2.27192,159.909
160,330.35,2.10272,157.106
161,356.2,2.22885,159.813
162,336.35,2.10806,159.554
163,344.8,2.12175,162.507
164,345.5,2.13365,161.929
165,348.15,2.12322,163.973
166,345.1,2.15592,160.071
167,343.8,2.11599,162.477
168,367.05,2.26142,162.31
169,353.3,2.11857,166.763
170,351.65,2.12886,165.182
171,357.8,2.16789,165.045
172,351.15,2.12028,165.615
173,346.2,2.15487,160.659
174,353.1,2.12536,166.137
175,351.5,2.13345,164.757
176,351.55,2.1455,163.855
177,349,2.13589,163.398
178,354.65,2.13206,166.341
179,350.95,2.15205,163.077
180,349.95,2.15895,162.093
181,345.6,2.15831,160.125
182,352.75,2.12807,165.761
183,353.6,2.12548,166.362
184,344.5,2.09455,164.474
185,352.65,2.12377,166.049
186,345.05,2.13667,161.49
187,334.95,2.0524,163.199
188,350.55,2.15485,162.68
189,347.1,2.14917,161.504
190,336.65,2.04388,164.711
191,335.85,2.04558,164.183
192,342.95,2.1092,162.597
193,328.1,2.01702,162.666
194,337.25,2.02417,166.612
195,335.25,2.05714,162.969
196,330.4,1.97901,166.952
197,328.2,1.97776,165.945
198,344.35,2.07565,165.9
199,328.5,1.99406,164.739
200,335.3,2.03954,164.4
201,328.05,1.98646,165.143
202,320.1,1.95424,163.798
203,326.65,1.99358,163.851
204,331.75,2.02594,163.751
205,318.95,1.95929,162.789
206,319.05,1.94581,163.968
207,321.25,1.94832,164.886
208,320.6,1.96028,163.548
209,322.05,1.97311,163.219
210,328.7,1.97572,166.37
211,327,1.97047,165.95
212,329.1,1.97589,166.558
213,328.35,1.97623,166.15
214,328.8,1.97808,166.222
215,322.3,1.97133,163.494
216,318.45,1.94958,163.343
217,329.15,1.97565,166.603
218,316.85,1.95561,162.021
219,322.55,1.94831,165.554
220,328.75,1.97096,166.797
221,330.7,1.97071,167.808
222,326.55,1.98656,164.38
223,327.65,1.97821,165.63
224,325.35,1.98152,164.192
225,311.15,1.91077,162.84
226,324.1,1.98296,163.443
227,311,1.90105,163.594
228,333.1,2.04123,163.186
